applicant_age,education,home_ownership,annual_income,employment_years,credit_history_years,credit_score,previous_defaults,loan_purpose,loan_amount,loan_term_months,monthly_debt,debt_to_income,interest_rate,defaulted
41,Graduate,Rent,76364.0,10.6,12.2,668.0,1,Education,33230.0,36,1914.0,0.301,12.82,1
27,Graduate,Rent,47262.0,10.6,3.9,628.0,1,Debt Consolidation,19385.0,24,1866.0,0.474,15.09,1
46,Not Graduate,Rent,38352.0,14.1,5.8,628.0,0,Medical,10160.0,72,906.0,0.283,13.56,0
48,Not Graduate,Rent,41978.0,3.3,22.4,642.0,1,Education,23328.0,60,762.0,0.218,15.52,0
21,Graduate,Rent,32523.0,1.9,1.0,559.0,0,Education,31323.0,12,12.0,0.004,15.74,1
24,Graduate,Rent,18656.0,6.7,3.0,509.0,0,Medical,43857.0,48,198.0,0.127,14.28,1
39,Graduate,Mortgage,95977.0,5.5,5.4,735.0,1,Debt Consolidation,15499.0,72,1037.0,0.13,10.54,0
35,Post Graduate,Rent,93193.0,21.4,11.6,675.0,1,Debt Consolidation,17970.0,72,2319.0,0.299,14.42,0
38,Post Graduate,Rent,48278.0,3.0,11.6,654.0,0,Business,29049.0,36,1448.0,0.36,13.63,0
29,Graduate,Mortgage,69798.0,16.6,4.5,646.0,0,Medical,15142.0,48,1180.0,0.203,12.73,0
48,Graduate,,,5.5,5.5,688.0,0,Debt Consolidation,21311.0,48,2977.0,0.433,11.69,1
47,Graduate,Own,41695.0,2.7,9.2,666.0,0,Medical,13790.0,60,1642.0,0.473,9.41,0
39,Graduate,Mortgage,68551.0,14.9,13.6,751.0,0,Education,35576.0,72,1381.0,0.242,10.89,0
50,Post Graduate,Own,114682.0,3.3,12.7,707.0,0,Education,21685.0,36,2381.0,0.249,10.87,0
43,Not Graduate,Rent,24448.0,10.6,14.1,655.0,0,Education,28451.0,12,377.0,0.185,10.73,0
29,Graduate,Mortgage,72405.0,6.8,5.8,715.0,0,Debt Consolidation,33435.0,60,2529.0,0.419,10.41,0
42,Graduate,Mortgage,67102.0,,14.9,757.0,0,Debt Consolidation,13244.0,72,909.0,0.163,8.3,0
27,Graduate,Rent,132747.0,12.0,3.0,789.0,0,Home Improvement,39202.0,60,3476.0,0.314,8.18,0
48,Not Graduate,Rent,60007.0,5.4,21.3,751.0,0,Business,42843.0,12,1663.0,0.333,7.55,0
37,Not Graduate,Rent,38819.0,14.9,6.2,681.0,0,Education,31754.0,60,716.0,0.221,9.88,0
36,Not Graduate,Mortgage,40893.0,8.2,11.4,738.0,0,Vehicle,26283.0,24,547.0,0.161,9.22,0
31,Graduate,Rent,141567.0,6.2,5.0,769.0,0,Debt Consolidation,24385.0,72,4115.0,0.349,7.89,1
51,Post Graduate,Rent,62142.0,6.7,10.2,727.0,0,Business,39328.0,60,1107.0,0.214,7.37,0
36,Graduate,Own,74144.0,10.9,6.4,747.0,0,Business,40245.0,24,780.0,0.126,7.32,0
33,Not Graduate,Mortgage,41952.0,5.3,9.0,597.0,0,Debt Consolidation,14778.0,24,1397.0,0.4,14.79,0
34,Post Graduate,Rent,118590.0,4.3,8.0,773.0,0,Vehicle,67266.0,36,2580.0,0.261,6.15,0
44,Not Graduate,Rent,77680.0,3.7,6.4,671.0,0,Vehicle,19290.0,36,2677.0,0.414,14.08,0
42,Post Graduate,Rent,72161.0,7.6,5.7,659.0,0,Business,39608.0,12,957.0,0.159,12.74,0
43,Graduate,Mortgage,47427.0,3.9,14.3,663.0,0,Vehicle,53684.0,60,387.0,0.098,11.99,1
43,Not Graduate,Own,38475.0,11.0,7.7,611.0,1,Debt Consolidation,23436.0,24,4.0,0.001,14.22,0
62,Graduate,Mortgage,26180.0,5.2,13.2,590.0,0,Vehicle,32220.0,72,320.0,0.147,12.42,1
34,Graduate,Rent,59591.0,8.6,9.2,699.0,0,Medical,6949.0,36,201.0,0.04,8.51,0
32,Graduate,Rent,59052.0,12.4,4.6,689.0,0,Debt Consolidation,9509.0,48,2133.0,0.433,13.21,0
29,Graduate,Rent,39448.0,14.3,2.0,717.0,0,Education,27887.0,48,574.0,0.175,8.61,0
45,Graduate,Rent,24943.0,7.1,11.3,629.0,0,Medical,25739.0,36,359.0,0.173,12.51,0
50,Graduate,Own,62494.0,1.2,16.3,746.0,0,Business,70156.0,36,2169.0,0.416,9.35,0
37,Not Graduate,Mortgage,54243.0,1.3,9.6,685.0,0,Business,59322.0,60,1615.0,0.357,11.34,1
29,Graduate,Rent,68022.0,10.8,2.0,696.0,0,Home Improvement,11783.0,12,2427.0,0.428,11.34,1
29,Graduate,Mortgage,36480.0,3.2,4.2,693.0,0,Debt Consolidation,56814.0,36,146.0,0.048,9.42,0
45,Post Graduate,Rent,87152.0,5.0,10.3,804.0,0,Debt Consolidation,,60,375.0,0.052,5.5,0
46,Post Graduate,Own,67272.0,11.7,12.2,716.0,0,Debt Consolidation,45457.0,36,1865.0,0.333,9.95,0
44,Graduate,Rent,84038.0,4.4,5.0,,0,Home Improvement,22061.0,12,2719.0,0.388,11.86,0
31,Graduate,Own,36729.0,2.5,4.1,584.0,1,Business,170041.0,24,678.0,0.222,15.13,1
41,Not Graduate,Rent,78366.0,5.1,12.4,658.0,0,Education,20441.0,48,2893.0,0.443,11.34,0
39,Not Graduate,Mortgage,92138.0,9.6,5.0,676.0,0,Debt Consolidation,27154.0,72,3219.0,0.419,11.73,0
40,Graduate,Mortgage,60008.0,4.3,15.9,757.0,0,Debt Consolidation,30855.0,36,1553.0,0.311,7.79,0
48,Not Graduate,Mortgage,56005.0,8.8,22.9,753.0,0,Home Improvement,24751.0,36,1673.0,0.358,9.06,1
40,Graduate,Mortgage,81044.0,2.5,8.2,667.0,0,Debt Consolidation,16343.0,36,83.0,0.012,9.24,0
45,Graduate,Rent,35898.0,3.6,15.4,800.0,0,Home Improvement,95059.0,72,515.0,0.172,5.5,1
39,Not Graduate,Own,37524.0,5.2,11.1,607.0,0,Business,27289.0,60,366.0,0.117,14.64,0
41,Not Graduate,Rent,50739.0,12.7,6.0,718.0,0,Home Improvement,19820.0,36,912.0,0.216,8.95,1
45,Not Graduate,Mortgage,116268.0,4.7,10.7,726.0,0,Business,35952.0,12,1205.0,0.124,6.47,0
22,Graduate,Rent,33248.0,4.2,1.6,707.0,0,Medical,25792.0,48,722.0,0.261,11.08,0
34,Graduate,Rent,119012.0,4.2,3.7,722.0,0,Debt Consolidation,19406.0,48,4093.0,0.413,9.95,0
33,Graduate,Mortgage,52211.0,8.8,7.1,673.0,0,Vehicle,47783.0,48,497.0,0.114,10.64,1
31,Graduate,Rent,56078.0,10.1,6.2,615.0,0,Debt Consolidation,30761.0,36,1004.0,0.215,13.38,1
35,Graduate,Mortgage,98530.0,12.3,4.3,833.0,0,Debt Consolidation,28597.0,12,2408.0,0.293,7.02,0
54,Not Graduate,Rent,115983.0,18.1,17.8,794.0,0,Education,38444.0,12,1098.0,0.114,6.71,0
28,Not Graduate,Mortgage,56491.0,,6.1,704.0,0,Debt Consolidation,17735.0,60,1030.0,0.219,8.51,0
49,Not Graduate,Mortgage,78880.0,3.9,7.4,,0,Business,27676.0,48,526.0,0.08,8.08,0
21,Graduate,Own,37641.0,5.6,1.0,618.0,0,Medical,22912.0,36,932.0,0.297,11.87,1
34,Graduate,Rent,44880.0,3.3,4.8,559.0,0,Medical,38677.0,60,1758.0,0.47,15.84,1
40,Not Graduate,Rent,25411.0,6.8,13.2,651.0,0,Education,24732.0,60,615.0,0.29,12.7,0
44,Graduate,Rent,45161.0,3.7,13.2,663.0,0,Vehicle,23756.0,60,1645.0,0.437,11.69,1
46,Post Graduate,Rent,94016.0,12.3,13.1,776.0,0,Business,11974.0,48,2766.0,0.353,7.46,0
47,Graduate,Own,62659.0,7.2,18.5,811.0,0,Debt Consolidation,19314.0,48,2470.0,0.473,6.79,0
34,Not Graduate,Rent,101595.0,14.6,11.3,802.0,0,Medical,9356.0,48,2957.0,0.349,6.63,0
33,Post Graduate,Rent,183777.0,9.9,4.0,850.0,0,Debt Consolidation,13085.0,24,2118.0,0.138,5.5,0
47,Not Graduate,Rent,43920.0,9.4,18.9,693.0,0,Debt Consolidation,,60,492.0,0.134,9.7,0
36,Not Graduate,Mortgage,34396.0,2.4,6.7,586.0,0,Debt Consolidation,175496.0,48,478.0,0.167,15.15,1
24,Not Graduate,Rent,78713.0,8.8,1.1,691.0,0,Business,42486.0,48,761.0,0.116,9.42,0
26,Graduate,Rent,100599.0,17.9,2.1,730.0,0,Business,45850.0,48,2343.0,0.279,9.49,1
28,Not Graduate,Own,56960.0,4.8,3.5,666.0,0,Business,25130.0,36,1121.0,0.236,11.27,0
43,Post Graduate,Rent,100144.0,11.2,17.4,756.0,0,Education,15889.0,60,2649.0,0.317,9.06,0
40,Post Graduate,Mortgage,93338.0,1.9,9.7,649.0,0,Home Improvement,87630.0,36,577.0,0.074,11.86,0
